,Title,Published_year,Description
599,Innovative Reaffirms Commitment to Polaris ILS New APIs,2014,Innovative Interfaces Inc III developer of the Millennium ILS and nextgeneration Sierra Services Platform among other discovery and automation solutions this month announced a partnership with Bibliotheca the global RFID EM/RFID hybrid and barcodebased library solutions supplier Both companies describe the partnership as a strategic alliance that will enhance the integration of their respective software and hardware products
600,NYPL Partners with Coursera,2014,The ninth annual Electronic Resources  Libraries ERL conference this year hosted more than 650 attendees from 40 states and six countries representing a spike in attendance of more than 20 percent compared with 2013 Online viewership of the conference’s sessions rose significantly as well with more than 50 US academic libraries registering for ERL Online
601,Mobile Worklists Opening the Stacks,2014,Whether you need a flatbed scanner integrated with a payment system for patron use or one that will protect rare oversize maps while creating a digital record there’s a scanner for your library Today’s book scanners are fast many can scan a page in under two seconds and provide optical resolution of up to 800 dots per inch dpi on sheets reaching a massive 35 x 25 in size With such a wealth of options your only problem may be deciding which scanner to choose LJ has highlighted some of the newest offerings from a number of providers
602,EBSCO Opens Metadata to ThirdParty Discovery Services,2014,Usergenerated content UGC—which includes tweets reviews Facebook posts and Wikipedia articles—now plays a key role in the average person’s Internet experience UGC is also becoming an indispensable resource for helping researchers make sense of big data In his Wednesday keynote address The Mining and Application of Diverse Cultural Perspectives in UserGenerated Content at the Electronic Resources and Libraries ERL conference in Austin this week Brent Hecht assistant professor of computer science and engineering at the University of Minnesota will discuss how UGC reflects the cultural diversity of its contributors to a previously unidentified extent and that this diversity has important implications for Web users and existing UGCbased technologies Prior to the event LJ spoke with Hecht about the intersection of geography and computer science the influence of UGC and why librarians are needed to help patrons navigate popular UGC resources such as Wikipedia
603,Academic Movers 2014 In Depth with Vincent Scalfani,2014,On March 12 academic research nonprofit Ithaka S+R released its latest survey of academic library leaders Gathering input from 499 library deans and directors from institutions large and small the new Library Survey—the first of its kind since 2010—paints a picture of the shifting priorities of modern academic libraries the challenges they face and the resources and leadership techniques they’re using to meet those challenges
604,Queens Library Tests Job Application Kiosk with RealTime Video,2014,Whether librarians and faculty like it or not Wikipedia remains at the heart of the research process for many undergraduate students Rather than trying to stem the tide the University of California Berkeley is trying to make students there into more responsible and effective users of the online encyclopedia To that end the university’s American Cultures program has hired alumni Kevin Gorman as the first WikipedianInResidence at a US university
605,IMLS Holds Hearing on the Need for Broadband in Libraries,2014,Controversy over reading selections at a pair of colleges in South Carolina last year has reared its head again and this time it may result in budget cuts for the College of Charleston and the University of South Carolina Upstate The budget committee in the state House of Representatives recommended budget cuts totaling 70000 for the two schools which assigned incoming students and others to read literature about LGBT issues last year
606,Data Discovery Readers and Records — ERL 2014 In Review,2014,In recent years the Chester Fritz Library at the University of North Dakota UND has been in a funding situation that may sound familiar to many academic librarians While the budget for the library has been flat since 2008 annual largess from the university’s discretionary funds has kept the library from having to eliminate services This year though those supplemental funds are not available meaning that even without a cut the library faces a gaping hole in its funding
607,Judge Rules for HarperCollins in Ebook Suit  PubCrawl,2014,In the wake of a January court ruling that struck down the Federal Communication Commission’s FCC standards for ensuring that Internet traffic is delivered without bias—a standard industry watchers refer to as ‘net neutrality’—the agency has issued a new proposal outlining a new set of rules to ensure Internet users have uncensored access to the full content of the Internet Some experts though don’t think these new rules will be any more enforceable than those overturned earlier this year
608,Under Construction Computers in Libraries 2014,2014,EBSCO has rolled out Research Starters a new feature for EBSCO Discovery Service EDS that presents student researchers with short citable summaries on frequently searched topics Drawn from sources such as Salem Press Encyclopedia Britannica and American National Biography more than 62000 of these 500 to 1500word summaries are accessible offering students an authoritative overview of their chosen subject as well as links to other research starter summaries or peer reviewed research where they can delve deeper into a topic
609,Lessons from #hyperlibMOOC  Office Hours,2014,A group of students at Arizona State University ASU has proposed a revamp of the traditional bookmobile—one that aims to provide the services of a school library to schools that may not have access to that resource any longer The design dubbed Bibliotrucka aims to take advantage of the proliferation of food trucks in the Phoenix area recycling out of commission trucks into modular moving libraries that can be customized on a daytoday basis for students of different learning levels and cultural backgrounds
610,Newport News PL Launches Open Source Usage Software,2014,Librarians continue to cite the lack of access to ebook best sellers and other indemand titles as the number one problem preventing patrons from checking out more ebooks but usability issues are a close second according to Ebook Usage in US Public Libraries 2013 a survey of 553 public libraries conducted by LJ and sponsored by Freading
611,To Tackle Major Issues Affecting Kids ALA Divisions Must Collaborate  The Next Big Thing,2014,Finding and downloading ebooks from libraries can still be complicated and cumbersome involving many steps that do not always work but several key vendors have taken steps to streamline and simplify ebook access in recent months according to the longanticipated ReadersFirst Guide to Library Ebook Vendors which was released in January
612,SelfCheck Solutions  Product Spotlight,2014,There’s loads of activity happening in the world of educational technology New startups Dozens of websites for managing learning activities Apps by the dozens Academic librarians seem out of the loop
613,Total Boox to Offer Free Ebook Access During National Library Week,2014,Limitless Libraries an ongoing partnership between Nashville Public Library NPL and Metro Nashville Public Schools MNPS is planning a move to a shared ILS system and has requested funding for the transition from the office of Nashville’s mayor
614,OSU Libraries Offer Open Access Etextbooks to Students,2014,Flexibility and ease of use these are the terms that appear most frequently in descriptions of room and event scheduling software As such this product spotlight feature highlights software that exemplifies these qualities from both companies that specialize in providing solutions for libraries and those with a broader client base
615,Putting the Pieces Together  Library Systems Landscape,2014,By putting distribution and storage of papers and datasets in the hands of their authors Academic Torrents brings even more DIY ethos to the world of academic publishing and may help to solve a few problems in the field in the bargain While libraries and colleges disintermediate scholarly publishing by hosting their own institutional repositories and backing up to offsite services like LOCKSS and Portico Academic Torrents goes a step further offering researchers the opportunity to distribute the hosting of their papers and datasets to authors and readers offering easy access to scholarly works and simultaneously backing them up on computers around the world
616,Open Source Options  Library Systems Landscape,2014,Nineyearold Matthew is the owner of a brightlycolored prosthetic Robohand that was created in the MakerSpace of the Johnson County Library in Overland Park KS
617,Gale Releases Analytics On Demand a Demographic GIS for Libraries,2014,Late last year the Bexar County Library which serves the area around San Antonio TX set up BiblioTech the first alldigital library in the United States Without any physical books at all the branch raised a few eyebrows but head librarian Ashley Eklof tells Library Journal that after a few months the ebookand technologycentric project has been so successful it already has its own spinoff at the county courthouse
618,Wanted Presentations for LJ/SLJ October 1 Virtual Event The Digital Shift,2014,Recorded Books one of the industry leaders in the audiobook market and a major supplier of the audiobooks ebooks and other electronic content to libraries has been purchased by the private investment firm Wasserstein  Co LP The company was sold by Haights Cross Communications which has owned it since 1999 Terms of the sale were not disclosed
619,Stepping into the Stream Bringing Netflixstyle Video to Libraries,2014,Unglueit the crowdfunding platform developed to encourage publishers to make ebooks DRMfree and open access under a Creative Commons license in January launched a beta test of Buy to Unglue a new crowdfunding model that will offer ebook licenses in exchange for donations
620,Baker  Taylor collectionHQ Launch ESP a Predictive Collection Development Tool,2014,OCLC on January 22 announced WorldCat Discovery Services WDS a suite of cloudbased applications that combines FirstSearch and WorldCat Local Beginning in March the suite will offer FirstSearch subscribers access to a central index that represents nearly 2000 econtent collections containing articles ebooks and other content from providers including EBSCO Gale and ProQuest In total WDS will enable the discovery of 13 billion electronic digital and physical resources in libraries around the world using a single search
621,Ebooks and the Demise of ILL  Peer to Peer Review,2014,Codes of conduct and antiharassment policies were listed among the leading current trends during the annual LITA Top Tech Trends panel along with digital forensics open content next steps in social media and more
622,QA Cengage Learning CEO Michael Hansen on Coming Out of Bankruptcy,2014,OverDrive one of the major vendors of audiobooks to libraries has announced that it will be moving away from the WMA format and making audiobooks for the library market available solely as MP3s
623,Innovative Acquires Polaris Library Systems,2014,The Wikipedia Library is an open research hub started in 2010 when Credo Reference donated 500 free research accounts to Wikipedia's most active editors Partnerships with HighBeam Questia JSTOR and the Cochrane Library followed Now the Wikipedia Library is developing into a portal to connect editors with libraries open access resources paywalled databases digital reference tools and research experts Two of the project's leaders discuss the potential for collaboration between libraries and Wikipedia as well as the new Visiting Scholars pilot program
624,Innovative Interfaces Bibliotheca Announce Strategic Partnership,2014,Simon  Schuster SS last week expanded their library ebook pilot to systems outside of New York City and announced that OverDrive had become a new partner in the test The pilot was launched in April 2013 with the 3M Cloud Library and BiblioCommons supporting lending and acquisition for the New York Public Library and […]
625,ERL Conference Sees Rapid Growth,2014,EBSCO Information Services today announced the acquisition of Plum Analytics the developer of PlumX a tool that gives researchers and institutions a more complete view of the impact of their publications by harvesting and aggregating alternative metrics altmetrics data in five major categories usage captures mentions social media and citations Plum will continue to offer the same services with the same management team operating as a whollyowned subsidiary of EBSCO
626,Book Scanners  Product Spotlight,2014,We’ve moved beyond the question of whether people are better off if they go to college They are Now that that’s settled we need to figure out what it means to be college educated and what the humanities contribute to student learning
627,Navigating UserGenerated Resources A QA with Computer Scientist Brent Hecht,2014,At the University of Oregon UO staff at the Science Library have only had an inhouse 3D printer for a few months but have wasted no time putting the new equipment to use At the beginning of January the library printed a 3D model of a rare fossil in the UO paleontology department’s collection—the remains of a 5millionyear old saber toothed salmon
628,Ithaka Study Shows Shifting Priorities Among Academic Librarians,2014,A version of Flow— ProQuest ‘s cloudbased collaboration and document management tool—is now available for free to researchers including those affiliated with nonsubscribing institutions Launched in mid2013 as an alternative to Mendeley and Zotero the platform helps researchers discover store and organize academic articles citations and metadata downloaded from electronic databases and collaborate with other researchers in a cloudbased environment
629,Kevin Gorman Berkeley’s WikipedianinResidence,2014,For years adults who had dropped out of high school had only one venue to prove that they’d mastered the same skills that a diploma reflects passing the general educational development GED test While it’s better than nothing though in practice a GED is not a complete replacement for a diploma since it’s treated as a lesser substitute by colleges and employers Now Gale Cengage Learning is partnering with the country’s first accredited online school district Smart Horizons Career Online Education SHCOE to offer a way for adults to earn a full high school diploma through libraries across the nation Career Online High School COHS
630,SC Legislators Plan Cuts to College Budgets over Reading Assignments,2014,Gale hopes to have all of its more than 80 publisher partners participating in Gale Virtual Reference Library’s GVRL new UsageDriven Acquisition UDA model by Spring 2014 according to company officials
631,Loss of Funding Leaves UND Library Looking at Service Cuts,2014,The US Department of Commerce DoC has been collecting public comment on the topic of the first sale doctrine and digital files in recent weeks; the agency was scheduled to meet about the issue on December 12 in Washington DC First sale doctrine is a set of exemptions to US copyright law that permit consumers to resell used books or DVDs and libraries to loan books without seeking permission from publishers Yet for reasons examined in more detail below first sale exemptions have not translated well for digital content The DoC’s call for public comment could mark the beginning of a campaign to reassess what copyright and first sale mean in the modern digital era notes one expert
632,FCC Takes Another Swing at Net Neutrality While Netflix Agrees To Pay for Faster Streaming,2014,The Colorado Library Consortium CLiC recently announced an agreement with library automation software provider Innovative Interfaces to make SkyRiver bibliographic services available to libraries throughout the state SkyRiver will facilitate a comprehensive audit of CLiC’s AspenCat union catalog and ultimately will offer the consortium’s 400 libraries a source of cataloging records
633,EBSCO Rolls Out New Research Starters Feature for EDS,2014,American catalogers and systems librarians can be forgiven for thinking that all the linkeddata action lies with the BIBFRAME development effort BIBFRAME certainly represents the lion’s share of what I’ve bookmarked for next semester’s XML and linkeddata course All along I’ve wondered where the digital librarians metadata librarians records managers and archivists—information professionals who describe information resources but are at best peripheral to the MARC establishment—were hiding in the linkeddata ferment as BIBFRAME certainly isn’t paying them much attention After attending Semantic Web in Libraries 2013 acronym SWIB because the conference takes place in Germany I know where they are and what they’re making linked data that lives in the creases building bridges across boundaries and canals through liminal spaces
634,ASU Students Aim To Turn Used Food Trucks Into Mobile School Libraries,2014,Since the term was coined five years ago massive open online courses or MOOCs have been a subject of much debate in educational circles In their brief life span the courses in which up to many thousands of students can participate have demonstrated the promise of new technology to democratize education by some and been declared failed experiments by others MOOC professors though say that it’s too early to judge how MOOCs perform and that after just a few years even those in the know are still figuring out what MOOCs really are and what shape—or shapes—they’ll take in the future Whatever MOOCs look like going forward though libraries—in the academic and public sphere alike—will play a key role in helping to determine their design and success In just the few months since we looked in LJ at the MOOC environment Massive Open Opportunity LJ 5/1/13 the quickly moving field has evolved significantly
635,Tough To Read,2014,The following news from OCLC makes sense to us Smart Of course it’s essential that the data is updated regularly and then Yelp uploads it in a timely manner We all know as both researchers and consumers what it feels like when arriving at store/restaurant that’s moved or dialing a disconnected phone number From OCLC […]
636,First Read,2014,Massive open online courses MOOCs have dominated the conversation in higher education since their sudden arrival in spring 2012 The MOOC movement is evidence of the profoundly disruptive change that is widely seen as coming to higher education If there is any unit on a university campus that has survived and thrived on disruptive change it is the library Libraries in institutions actively offering MOOCs applied this background to figuring out how to manage intellectual property questions However for libraries in universities not offering MOOCs there seemed to be no role other than to watch and read about the movement in wonder amusement and occasional envy For the Z Smith Reynolds Library ZSR at Wake Forest University WFU however this was not enough So when WFU was not contemplating offering any MOOCs in 2012 the library decided to experiment with an open online course on its own
637,Left Behind by the EdTech Surge  From the Bell Tower,2014,While much has been written about the role of academic libraries in supporting massive open online courses MOOCs the inclusion of MOOCs in a public library setting is largely unexplored territory This past summer the Ridgefield Library included a MOOC as part of its adult summer reading program Based on this experience the Ridgefield Library plans to continue as a meetup destination for MOOCs as part of its mission to be an intellectual and cultural center and to support lifelong learning for all ages
638,Nashville’s Limitless Libraries Hopes to Merge School and Public Library ILS,2014,Boopsie the developer of custom mobile apps for libraries is planning to launch Boopsie Analytics in early 2014 Currently in alpha testing stage the new webbased platform will help the company’s customers analyze data about a number of different patron behaviors such as how many queries are sent to a database or catalog from the app each day or each week what services are being accessed most often via the app or how many titles are being downloaded from OverDrive or other vendor partners using the app for example
639,Scheduling Software,2014,Madison Wisconsin’s struggling public access TV station WYOU has a new lease on life courtesy Madison Public Library The station which has been limping along since a 2010 state law cut its funding has been welcomed into the new Madison Central Library branch Library staff and station volunteers described the new partnership as a winwin situation that lets the station eliminate its rent costs and take advantage of the library’s media lab and equipment while the library gets a batch of potential new volunteers and media teachers with years of experience and the chance to experiment with serving as an incubator for communityproduced media
640,Academic Torrents Offers New Means of Storing Distributing Scholarly Content,2014,Access to good data on key metrics such as circulation and student visits always helps make a better case for the important role libraries play on campus But using data proactively to address emerging trends and challenges is what it really means to be a datadriven organization said Sarah Tudesco Assessment Librarian Yale University during yesterday’s What Is a DataDriven Academic Library? webcast
641,Kansas Boy Gets New Hand Created at a Library Makerspace,2014,McGrawHill’s professional's ebook catalog of more than than 5000 business consumer education technical and medical titles is now available for K–12 school libraries and public libraries worldwide on OverDrive Also some 700 of McGrawHill’s 2012 and 2013 offerings will be offered at special rates
642,Who Needs Books? A QA with the ‘Bookless Library’ Head Librarian,2014,With the help of Operation Photo Rescue a nonprofit volunteer network of photographers image restoration artists and graphic designers Fondulac District Library FDL IL recently launched Saving Memories a program to help community members digitize and restore photographs that were damaged when 24 tornadoes touched down in Illinois on the night of November 17
643,Audiobook Giant Recorded Books Sold To Private Equity Firm,2014,Late last month the announcement that libraries at the University of North Texas UNT in Denton would have to cut 17 million from the materials budget sent staff and students around the campus into an uproar with students and faculty flocking to defend a library system that they see as key to their success as scholars While UNT Provost Warren Burrgren has walked those statements back in recent days and laid immediate concerns about budget cuts to rest the controversy started a conversation on the campus about how the library should be funded that isn’t dying down even as cuts to the library budget are halted or postponed
644,BuytoUnglue Ebook Crowdfunding Model Goes Beta,2014,When Colorado's Arapahoe Library District which serves the Denver area heard about the opportunity to purchase Google Glass before it was released to the public the staff jumped on it It is a good thing they did because as it turns out the library staff heard about the Glass Explorer contest in which you tweeted at Google what you would do with Google Glass using the hashtag #IfIHadGlass just one day before the deadline
645,OCLC Introduces WorldCat Discovery Services,2014,ProQuest subsidiary Serials Solutions launched Intota Assessment a collection analytics service designed to give libraries a holistic view of their serial and monograph holdings in both print and electronic formats facilitating a comprehensive datadriven approach to collection management Intota Assessment is the first launch of the Intota cloudlibrary services platform LSP
646,Top Tech Trends  ALA Midwinter 2014,2014,The ShelleyGodwin Archive a free online resource featuring the digitized manuscripts of Percy Bysshe Shelley Mary Wollstonecraft Shelley William Godwin and Mary Wollstonecraft will include tools designed to encourage collaborative humanities research similar to collaborative public projects in the sciences
647,OverDrive Announces Move to all MP3 Audiobooks,2014,Midwest Tape’s paypercirc streaming media service hoopla has announced the addition of thousands of popular movies and television shows to its lineup through new agreements with Universal Pictures MetroGoldwynMayer Studios National Geographic and BBC America
648,Librarypedia The Future of Libraries and Wikipedia,2014,In advance of a public meeting scheduled for December 12 in Washington DC the US Department of Commerce is seeking public comment from all interested stakeholders on the issue of first sale doctrine and digital files including ebooks Comments are due on or before November 13
649,Simon  Schuster Expands Ebook Pilot with OverDrive 3M and Axis 360,2014,In partnership with Minnesota's Metropolitan Library Service Agency MELSA consortium 3M has developed CloudLink a new feature for its ebook lending system for consortia Many consortial arrangements involve member libraries contributing ebooks to a common pool that patrons from all libraries can use In addition to this functionality CloudLink also enables any patron from any MELSA library to check out ebooks from the private collections of any other MELSA library provided there is no holds list for the title
650,EBSCO Acquires Altmetrics Provider Plum Analytics,2014,Oklahoma’s Pioneer Library System PLS this week became the first library in the US to debut Envisionware’s new 24Hour Library Officials plan to use two new vending units to offer 24 hour pickup for reserve materials at a small new branch near a busy shopping area and to enhance access to materials in another location near a community center and a middle school
651,Asking Fundamental Questions About the Humanities  From the Bell Tower,2014,Social media is becoming a more and more important way for libraries to interact with their patrons and one ingredient of that is passing along interesting pieces of information about the library's many programs and activities Another very important part though is posting the occasional cat picture or funny video or other piece of viral content commonly known as memes At The Digital Shift Reinventing Libraries virtual event held by Library Journal and School Library Journal on October 16 Know Your Meme's resident librarian Amanda Brennan offered her thoughts on how libraries can use memes to engage their patrons and boost their followings on platforms like Twitter and Facebook We revisited that presentation and picked Brennan's brain on some other points in a QA that offers some pointers for beginners looking to make their library's Facebook page a must read
652,University of Oregon Science Libraries Back Up Fossils with 3D Printer,2014,Make It  Your Library in collaboration with Instructablescom and the American Library Association has finally launched its searchable website makeitatyourlibraryorg for librarians seeking maker space ideas and projects Make It  Your Library—an initiative developed through the ILEAD USA program over the past year—aims to help librarians realize maker projects in their own communities at low cost
653,ProQuest Launches Free Version of Flow a CloudBased Document Management Platform,2014,The site will go live this Thursday October 31 2013 Until then you can learn more about the project here From NYPL The New York Public Library’s Carl H Pforzheimer Collection of Shelley and His Circle is proud to announce the launch of the ShelleyGodwin Archive a new digital resource that will comprise the manuscripts []
654,Gale Libraries Team To Offer High School Diplomas,2014,Note The Village of Maywood IL is located just west of Chicago From WGNTV The public library in suburban Maywood closed its doors Saturday and will not reopen until funding can be secured It’s a place to read use a computer and for teens to stay out of trouble But now the Maywood Library is []
655,Most GVRL Partners Expected to Adopt UsageDriven Acquisition Model,2014,From the Pinterest Blog We are excited to announce a partnership with Getty Images to learn more about the images you pin Getty Images is one of the industry’s best and broadest collections of imagery created by a community of hundreds of thousands of contributors Their collection not only includes great images but also data []
656,Digital Firsts,2013,More DPLA News Here  DPLA Adds Three New Services Hubs and Launches Super Cool Ebook Bookshelf From the Digital Public Library of America The Digital Public Library of America DPLA announced today that it has received a 990195 grant from the Bill  Melinda Gates Foundation to build upon its network of library professionals and []
657,Colorado Library Consortium SkyRiver Partnership Offers Bibliographic Services to Small Libraries,2013,From Polaris Polaris Library Systems will employ OverDrive’s Discovery APIs and Circulation APIs application programming interfaces to create a more desirable seamless patron experience for libraries with an OverDrive econtent subscription [Clip] The integration between Polaris and OverDrive will be available for both the library catalog and mobile PAC in Q1 of 2014 Read the []
658,Linked Data in the Creases  Peer to Peer Review,2013,All librarians want to serve their communities and patrons as best they can but knowing how best to provide that service isn’t always easy The demands of day to day duties not to mention privacy concerns can make it hard for staffers to learn the finer details of how patrons are using their services Without a clear picture of how services like computer access are being put to use it can be difficult to determine how to fine tune them to the needs of users Now researchers at the University of Washington UW iSchool have introduced the Impact Survey a tool that lets patrons anonymously report on how they use library technology while they’re using it helping librarians understand how—and when—patrons are interacting with the access to technological resources that they provide—and to demonstrate the value of those services to local governments
659,Opening Up  Next Steps for MOOCs and Libraries,2013,These are special copies of Fahrenheit 451 Learn why below From The Daily Herald Ray Bradbury fans have a chance Friday to bring home a piece of his estate if they attend a festival in his honor hosted by the Waukegan Public Library The first 100 guests at the library’s eighth annual Ray Bradbury Storytelling []
660,OCLC Begins Adding Local Library Phone Numbers Addresses to Yelp Listings,2013,From Villanova U The National Science Foundation NSF has awarded a 167 million grant to Villanova University to develop a virtual reality CAVE facility that uses immersive video for telepresence applications as well as computergenerated graphics for 3D visualization The grant is the largest NSF research grant ever awarded to the University Villanova’s CAVE Cave []
661,A MOOC of Our Own,2013,Deep in the conversations streams of the Hyperlinked Library MOOC massive open online course the largescale professional development course I’m coteaching this fall for more than 300 library folk my thoughts turn again to the concept of librarians as facilitators of learning It becomes clear to me that as learning goes on the move we not only must keep up with significant changes in education environments but aim to become connectors and collaborators within our users’ learning spaces
662,MOOCing at the Public Library,2013,UPDATE October 24 New York Public Library Hires Firm to Promote Renovation Plan via NY Times The library has enlisted the Parkside Group whose team will be led by Evan Stavisky the contract says perhaps best known as a Democratic consultant Asked about its decision to hire Parkside the library said in a statement that like []
663,In Testing Stage Boopsie Analytics Spots Shift from Apple to Android,2013,LJ Columnists Barbara Fister and Michael Stephens discussed improving student understanding of how information is created and stored as well as ways to keep students engaged with MOOCs during their presentations for The Digital Shift Reinventing Libraries last week
664,Madison Central Library To Host Local Public Access Channel,2013,Ebook distribution to libraries took another leap forward on October 17 when Baker  Taylor OverDrive 3M and RBDigital Recorded Books told their customers that Macmillan’s entire ebook backlist 11000 titles from lead imprints St Martin’s Farrar Straus  Giroux Henry Holt Macmillan Children's and Tor would now be available to their patrons
665,Using Data to Shape a Library’s Direction  DataDriven Academic Libraries,2013,Last week’s The Digital Shift virtual event Reinventing Libraries produced by Library Journal and School Library Journal looked at the broad spectrum of ways in which libraries are remaking themselves and rethinking their missions—and how to accomplish them—in the digital age Throughout the day panelists gave presentations took questions from honing new skills developing new ones and thinking ahead about what assets will make a successful library—and a successful librarian—in the future
666,McGraw Hill OverDrive Partner on Professional Ebooks for K–12 Schools Libraries,2013,The Internet offers today’s youth unprecedented opportunities to connect with peers and seek knowledge in almost any area of interest—and libraries are uniquely positioned to play a central role in this learning according to Mimi Ito professor and cultural anthropologist at the University of California Irvine and principal investigator for the new education model Connected Learning
667,Fondulac District Library Operation Photo Rescue Partner to Save Community’s Storm Damaged Photos,2013,From the DC Public Library Today ten firms were selected to move to the next round in the search for an architect team to help design the next generation Martin Luther King Jr Memorial Library 901 G St NW Three firms will be selected in midDecember to move to the third and final round and []
668,UNT Backs Off Immediate Library Cuts but Concerns Remain,2013,From WREG Memphis Tennessee’s Supreme Court ruled against the City of Memphis and has upheld the state’s Voter ID law The court upheld the 2011 law which requires photo identification for those who are registered to cast a vote Two voters and the City of Memphis sued arguing the ID requirement was an unfair burden []
669,Arapahoe Library District Invests in Google Glass,2013,From the Honolulu StarAdvertiser The University of Hawaii has drastically cut its funding request for the planned Daniel K Inouye library including slashing a request for state bond financing by two thirds to 5 million Interim UH President David Lassner proposed the funding change at today’s Board of Regents meeting after hearing public testimony from []
670,Serials Solutions Launches Collection Analytics Tool Intota Assessment,2013,From the Worldreader Blog With the Bill  Melinda Gates Foundation grant we will provide eight libraries in Kenya with 250 ereaders with protective cases Library customers will have instantaneous access to 50000 fiction and nonfiction books reference materials and storybooks plus a complete set of digital textbooks used in Kenyan schools and suitable for []
671,ShelleyGodwin Archive Aims to Help ‘Citizen Humanists’ Crowd Source Digital Humanities,2013,The recent infusion of 11 million into Open Road Integrated Media by private equity firm NewSpring Capital and others should come as no surprise to those librarians familiar with company CEO Jane Friedman In only a few years the former HarperCollins CEO and her team took the digital publishing and multimedia marketing company from distributing a handful of pre1994 titles by major 20thcentury authors like William Styron to over 4000 titles from 500 authors
672,Hoopla Announces Agreements with Universal Pictures MGM National Geographic and BBC America,2013,Decision Center the collection management solution developed by Innovative Interfaces Inc iii released new features that will help users manage floating collections across multiple branches and separately anticipate demand for new titles Decision Center which replaced iii Reporter when it went into general release in June is designed to work with iii’s Millennium ILS or its Sierra Services Platform
673,Department of Commerce Seeks Input on Digital First Sale,2013,Clemson University’s Cooper Library has a new addition that may seem out of place at first glance—a study hall filled with stationary exercise bikes The space isn’t being taken over by the phys ed department though The bikes are FitDesks specially equipped cycles with attached desktops that allow riders to be readers as well and they’re part of a new study by Clemson psychologist Dr June Pilcher on the effects of exercise on productivity and learning
674,MELSA 3M Develop New Ebook Sharing Feature for Consortia,2013,Wednesday November 13th 2013 100  200 PM ET Libraries share many common challenges scarce resources increased user demand and ever more complex collections systems and workflows To help manage these challenges today’s cloudbased library management services are offering workflows that save time and discovery solutions that meet users’ expectations Libraries using these services are seeing drastic reductions in the time it takes for routine tasks because of the integration in the cloud between libraries applications partners and data Not only can information be shared between departments but between libraries improving quality and relevance as it’s enhanced along the way Archive Now Available
675,Oklahoma’s Pioneer Library System Launches 24Hour Vending Library,2013,The original developers of network technology wanted to democratize access to information but while networks have succeeded in improving access the ways in which governments and corporations are now gathering and using personal data has been an unfortunate consequence argued author and computer science pioneer Jaron Lanier during a LIVE from the New York Public Library NYPL event on October 10
676,No Such Thing As Too Many Cat Pictures QA With Amanda Brennan  The Digital Shift 2013,2013,Wednesday November 20th 2013 300  400 PM ET This webcast will focus on what makes hoopla digital uniquely attractive as a digital solution for public libraries and how its features and functionality offers to simplify the digital shift With hoopla digital patrons can borrow instantly stream and download free dynamic content with a valid library card Archive Now Available
677,Make It  Your Library Launches Maker Space Project Website,2013,As a result of the federal government shutdown many resources that researchers academics and library patrons depend on—like the Library of Congress LC archives—have been rendered unavailable in the last week The bad news is that eight days in and with no clear end to this stalemate in sight there’s no telling how long those resources might be on lock down The good news is that a variety of other institutions are stepping up to fill in the gap and make sure a government shutdown doesn’t turn into an information shutdown
678,Launching Later This Week New York Public Library’s ShelleyGodwin Digital Archive,2013,The next series of innovations will come as a result of the accelerating demand in the education space Serving students and learners of all ages PreK–12 higher ed and lifelong learning will provide new engagement with library users and drive the next wave of innovation David Burleigh Director of Marketing for OverDrive
679,Illinois Maywood Public Library Shuts Its Doors Due to Lack of Funding,2013,The South Carolina State Library SCSL has launched the South Carolina State Agency Social Media Library a new project that will archive all tweets Facebook posts and YouTube content generated by the official accounts of South Carolina’s state agencies while simplifying public access to this social media activity via a single online portal at scsocialmedialibraryorg The portal and the archive were developed in collaboration with ArchiveSocial a forprofit social media archiving company based in Durham NC
680,Metadata Pinterest and Getty Images Announce Partnership,2013,Regularly ranked as the busiest or the second busiest library in the United States the King County Library System KCLS in Washington annually processes 22 million checkouts and records more than 84 million visits to its catalog It’s enough to strain any integrated library system ILS and a few years ago IT services director Jed Moffitt decided that owing to this volume and the need to add proprietary features to its system there simply wasn’t a commercial ILS on the market that could meet the library’s unique requirements He famously coauthored an Institute of Museum and Library Services grant of 1 million that enabled KCLS to experiment with and then migrate to the open source Evergreen ILS while developing a peertopeer support model to help other libraries and consortia that were interested in doing the same Moffitt admits that there have been growing pains during the past three years But he still maintains that commercial ILS vendors simply aren’t organized to do the type of development work that KCLS needs
681,DPLA Awarded 1 Million Grant From Gates Foundation to Train Public Librarians,2013,Teaching from the real world is pure joy most of the time Students love it when they see something from class in the pixels of library journals and magazines the mass media or the technology press Most of the time discussing change while it’s happening is a visceral lesson in professional adaptability and continuous learning However I could have done without having to teach technologyrelated privacy issues to my Digital Trends Tools and Debates students in the shadow of the NSA’s newlyrevealed surveillance practices
682,Deals Polaris ILS and OverDrive Announce Partnership,2013,Both the higher education and mainstream media tend to report on studies relating college students’ lack of openness to nonprint textbooks More research and experimentation in this area suggest student attitudes may be starting to change
683,Impact Survey Aims to Help Libraries Increase Explain Their Worth,2013,Privacy in our society is being undermined with a daily intensity that may be unmatched in history The confluence of compromises in our digital lives and the political arena chips away at our sense of what needs to be private and risks codifying a culture in which privacy is not a right but a state hardwon by continual effort or worse a state only available to those wealthy enough to protect themselves
